number,value,datetime_start,datetime_complete,duration,params_cnn_out,params_dropout_a,params_dropout_b,params_fc_hidden,params_fluct_hidden,params_lr,params_lstm_hidden_a,params_n_filters1,params_n_filters2,params_n_layers,params_trend_hidden,params_weight_decay,user_attrs_best_epoch,user_attrs_n_params,user_attrs_time_s,state
76,389.9164974709329,2026-06-21 04:37:20.901313,2026-06-21 04:39:07.565048,0 days 00:01:46.663735,16,0.3218086915856025,0.3285733343233695,32,96,1.0021133558495682e-05,64,128,96,1,64,0.000218903883765373,48.0,144192.0,106.4,COMPLETE
77,402.1068343736525,2026-06-21 04:39:07.592511,2026-06-21 04:39:54.465486,0 days 00:00:46.872975,14,0.30850664131344213,0.36086458894595314,32,96,1.1034280628871893e-05,64,96,128,1,64,0.0002281796942505019,11.0,151618.0,46.6,COMPLETE
78,391.513629232751,2026-06-21 04:39:54.497752,2026-06-21 04:41:42.240850,0 days 00:01:47.743098,16,0.28287863255966195,0.289134999431877,32,64,1.748731902887558e-05,64,64,96,2,64,0.0002256125374098191,39.0,201984.0,107.4,COMPLETE
79,423.08480237418127,2026-06-21 04:41:42.273877,2026-06-21 04:42:32.951340,0 days 00:00:50.677463,16,0.15836213677513972,0.26676258534817726,32,64,6.765447020748556e-05,64,64,160,2,96,0.00030860464380518796,8.0,293952.0,50.4,COMPLETE
80,397.96260424190615,2026-06-21 04:42:32.986143,2026-06-21 04:44:24.341308,0 days 00:01:51.355165,14,0.3065896133968344,0.3306480368157947,32,96,1.3379199310996278e-05,64,64,96,2,64,0.0005302239684954031,42.0,265218.0,111.1,COMPLETE
81,407.76584503241565,2026-06-21 04:44:24.372315,2026-06-21 04:45:40.932217,0 days 00:01:16.559902,14,0.3120848800247535,0.21582811723436124,128,128,2.329512097026652e-05,32,64,96,2,64,0.0006239500254948817,22.0,323458.0,76.3,COMPLETE
82,405.3799336733381,2026-06-21 04:45:40.963696,2026-06-21 04:46:42.681895,0 days 00:01:01.718199,16,0.28293288335337785,0.3552263597723634,64,64,2.9630720469254906e-05,64,64,96,2,96,6.30637000585698e-05,13.0,270912.0,61.5,COMPLETE
83,393.0993234858081,2026-06-21 04:46:42.714152,2026-06-21 04:47:30.095873,0 days 00:00:47.381721,16,0.4739858406593425,0.40888213758863745,64,128,1.4835918391704483e-05,64,128,288,1,96,0.0003788247325339217,10.0,327232.0,47.1,COMPLETE
84,404.2576143376894,2026-06-21 04:47:30.133889,2026-06-21 04:48:06.569649,0 days 00:00:36.435760,14,0.4833045720631619,0.5097843980458936,96,128,3.856277046068809e-05,48,96,256,1,64,0.0002668850052395706,3.0,241378.0,36.2,COMPLETE
85,392.7746252623761,2026-06-21 04:48:06.600899,2026-06-21 04:50:47.088844,0 days 00:02:40.487945,14,0.39761975873456923,0.546026599515441,32,96,1.773123222991382e-05,48,192,96,1,192,0.000769934109016598,33.0,287778.0,160.2,COMPLETE
86,399.8626912766431,2026-06-21 04:50:47.123405,2026-06-21 04:52:16.586765,0 days 00:01:29.463360,16,0.3842598897845495,0.5715999764713215,32,96,7.694824240210221e-05,48,224,96,1,192,0.000715795429726414,9.0,297760.0,89.1,COMPLETE
87,405.22931393841685,2026-06-21 04:52:16.622355,2026-06-21 04:53:43.168223,0 days 00:01:26.545868,16,0.48217393291964633,0.27911155453973724,64,128,1.7086627048003248e-05,48,160,224,1,128,0.0001048585189542309,33.0,317856.0,86.3,COMPLETE
88,415.57121832484984,2026-06-21 04:53:43.201723,2026-06-21 04:54:22.403242,0 days 00:00:39.201519,12,0.4747118655668936,0.4751102070398353,64,96,1.3774127315918342e-05,64,192,288,1,64,0.0005544977233736005,5.0,330116.0,39.0,COMPLETE
89,399.3265815720261,2026-06-21 04:54:22.435022,2026-06-21 04:55:05.825802,0 days 00:00:43.390780,16,0.42994346270248857,0.43617282189226875,32,128,1.936523349697552e-05,64,128,256,1,64,0.00017484146122893917,7.0,276960.0,43.2,COMPLETE
90,411.9175622925053,2026-06-21 04:55:05.862802,2026-06-21 04:55:44.421109,0 days 00:00:38.558307,12,0.468019262346696,0.335530484850093,32,128,3.138726272776118e-05,48,96,320,1,128,0.0004176469218404324,3.0,310724.0,38.3,COMPLETE
91,403.3408724329832,2026-06-21 04:55:44.454110,2026-06-21 04:56:21.964921,0 days 00:00:37.510811,14,0.31445838317472136,0.2812027441060473,32,64,3.053286350952591e-05,64,192,96,1,96,0.00010824425243693517,4.0,164226.0,37.3,COMPLETE
92,408.0051317079235,2026-06-21 04:56:22.325210,2026-06-21 04:57:53.052142,0 days 00:01:30.726932,16,0.49787078632406984,0.4686236274142243,64,128,6.331301666673782e-05,64,128,224,1,160,0.0008179882701069327,12.0,356864.0,90.5,COMPLETE
93,425.8579208491959,2026-06-21 04:57:53.084548,2026-06-21 04:59:02.020815,0 days 00:01:08.936267,10,0.44495207580415647,0.48427834939348363,64,64,2.1452019011114583e-05,48,192,96,1,192,0.0009672124604400041,3.0,274982.0,68.7,COMPLETE
94,392.67539870738017,2026-06-21 04:59:02.054329,2026-06-21 05:02:50.262657,0 days 00:03:48.208328,14,0.29495162533131186,0.435369348787102,64,96,1.0098380484021879e-05,32,224,96,1,192,0.0005422285859104958,54.0,296098.0,228.0,COMPLETE
95,419.36313321511705,2026-06-21 05:02:50.291662,2026-06-21 05:04:07.814923,0 days 00:01:17.523261,12,0.37877833490613105,0.5595798284073519,64,128,1.5495473104538106e-05,48,160,96,1,192,0.00022775273228701923,4.0,319076.0,77.3,COMPLETE
96,394.9124111749338,2026-06-21 05:04:07.853700,2026-06-21 05:06:24.330185,0 days 00:02:16.476485,16,0.28178466795373147,0.4377384959986768,64,96,3.959444573147275e-05,16,224,128,1,160,0.0007270238104277859,30.0,262272.0,136.2,COMPLETE
97,403.2126261353927,2026-06-21 05:06:24.363379,2026-06-21 05:07:05.972973,0 days 00:00:41.609594,14,0.24947660930994756,0.4909483151580376,64,96,1.1284370318566018e-05,32,224,160,1,96,0.0002586051031635829,7.0,229090.0,41.4,COMPLETE
98,416.1001794940733,2026-06-21 05:07:06.000975,2026-06-21 05:08:34.424096,0 days 00:01:28.423121,10,0.26674090668238815,0.40480956955148034,32,96,1.6686375450824235e-05,32,224,128,1,192,0.0003732468157485524,9.0,311942.0,88.2,COMPLETE
99,408.7568042247126,2026-06-21 05:08:34.456607,2026-06-21 05:10:14.675049,0 days 00:01:40.218442,16,0.2093586410037302,0.4459194648730818,32,64,3.101753976332649e-05,32,256,160,1,256,0.0002293113154947136,12.0,449280.0,100.0,COMPLETE
100,412.9060123078859,2026-06-21 05:10:14.709300,2026-06-21 05:14:30.593227,0 days 00:04:15.883927,14,0.18525115731126213,0.4852018426074805,96,128,1.165849934944793e-05,16,256,160,1,224,0.0009028619486246416,76.0,448866.0,255.7,COMPLETE
101,451.58481346254325,2026-06-21 05:14:30.623612,2026-06-21 05:15:32.179915,0 days 00:01:01.556303,14,0.3340059056046406,0.38297004725594386,32,96,0.00044484951666443734,32,224,224,1,160,0.0008115825736167896,2.0,342114.0,61.3,COMPLETE
102,391.97345254493956,2026-06-21 05:15:32.213313,2026-06-21 05:19:30.337935,0 days 00:03:58.124622,16,0.31126782693619903,0.47387960521338796,64,128,1.1052240582808256e-05,32,224,96,1,224,0.0003413303078504186,55.0,382944.0,237.9,COMPLETE
103,406.1991314306322,2026-06-21 05:19:30.373210,2026-06-21 05:21:10.658921,0 days 00:01:40.285711,16,0.3708770092183505,0.5077242840715915,128,96,3.123155750384958e-05,48,256,128,1,224,8.376488641038241e-05,12.0,425760.0,100.0,COMPLETE
104,429.6841136230196,2026-06-21 05:21:10.691921,2026-06-21 05:22:21.204413,0 days 00:01:10.512492,14,0.17419179566810644,0.5334948394957321,64,96,0.00011952568765979876,32,160,160,1,192,0.0009622371431551224,3.0,315042.0,70.3,COMPLETE
105,415.3690001071337,2026-06-21 05:22:21.239431,2026-06-21 05:24:51.459733,0 days 00:02:30.220302,14,0.37164295015561427,0.5509019410655479,64,128,2.39435581560913e-05,16,224,128,1,192,0.0003354056512038711,26.0,341346.0,150.0,COMPLETE
106,412.44217397715283,2026-06-21 05:24:51.492736,2026-06-21 05:26:57.668238,0 days 00:02:06.175502,14,0.28106082312583247,0.5061801434054685,64,64,3.5359862976162743e-05,16,224,192,1,192,0.0007772572925360475,22.0,334242.0,126.0,COMPLETE
107,398.44376955851624,2026-06-21 05:26:57.701241,2026-06-21 05:27:43.413965,0 days 00:00:45.712724,14,0.38695611813587866,0.43040422000752987,64,128,1.2721240771479618e-05,64,128,384,1,96,0.00038615221142905386,9.0,388898.0,45.5,COMPLETE
108,404.7845684743923,2026-06-21 05:27:43.448369,2026-06-21 05:30:23.293977,0 days 00:02:39.845608,14,0.2795591503980003,0.3851400250986415,96,64,1.3099441433783318e-05,48,256,96,1,192,0.00029728747768337563,34.0,303586.0,159.6,COMPLETE
109,411.2190717853441,2026-06-21 05:30:23.327546,2026-06-21 05:32:25.787366,0 days 00:02:02.459820,14,0.41777268212090807,0.503443596252185,32,64,1.6814264522935347e-05,48,192,224,1,224,0.00021232158726995005,19.0,418978.0,122.1,COMPLETE
110,386.74347521968616,2026-06-21 05:32:25.821444,2026-06-21 05:35:09.102533,0 days 00:02:43.281089,16,0.37371351055732843,0.3462435683380453,32,128,1.3144330449347608e-05,32,224,96,1,224,0.00038152104782527185,31.0,371104.0,163.0,COMPLETE
111,419.151020665583,2026-06-21 05:35:09.153243,2026-06-21 05:37:05.633264,0 days 00:01:56.480021,16,0.46421750405180534,0.3110138827569662,64,128,4.683434537292085e-05,48,256,96,1,224,0.00013307995568003517,16.0,404608.0,116.2,COMPLETE
112,408.7950089898359,2026-06-21 05:37:05.662318,2026-06-21 05:39:09.439722,0 days 00:02:03.777404,16,0.3291644274570936,0.37957150659875716,64,96,1.8858044736278678e-05,16,192,160,1,256,0.0004349907489435123,19.0,437120.0,123.5,COMPLETE
113,403.4672965371543,2026-06-21 05:39:09.473967,2026-06-21 05:40:49.074765,0 days 00:01:39.600798,16,0.2756458898320633,0.3049273252314409,64,128,3.1835676582408665e-05,48,256,160,1,192,0.0009205843808329659,10.0,410304.0,99.4,COMPLETE
114,389.054703737148,2026-06-21 05:40:49.102874,2026-06-21 05:44:27.848326,0 days 00:03:38.745452,16,0.4200718650054816,0.5001334975484486,32,128,1.7429532983582655e-05,32,192,96,1,192,0.0005331492527344878,47.0,306304.0,218.5,COMPLETE
115,386.3619578840546,2026-06-21 05:44:27.875500,2026-06-21 05:48:40.511186,0 days 00:04:12.635686,16,0.492623823053729,0.5029574186131739,32,128,1.3317299968424088e-05,16,128,128,1,224,0.0006939361098764166,73.0,345824.0,252.4,COMPLETE
116,411.01931219834427,2026-06-21 05:48:40.555246,2026-06-21 05:51:16.095869,0 days 00:02:35.540623,12,0.4667439262077147,0.45603108253976915,32,128,1.8597195730254275e-05,16,192,128,1,224,0.0008209189028618839,30.0,372196.0,155.3,COMPLETE
117,392.18141927556945,2026-06-21 05:51:16.120962,2026-06-21 05:53:44.758736,0 days 00:02:28.637774,16,0.492578843273783,0.5130251554958735,32,128,2.563660626063468e-05,32,160,96,1,224,0.00036421402562791593,28.0,351072.0,148.4,COMPLETE
118,405.4702709509046,2026-06-21 05:53:44.788762,2026-06-21 05:57:05.790049,0 days 00:03:21.001287,14,0.3636688661602937,0.41903254562449815,32,128,1.4211014084731228e-05,16,64,160,1,192,0.00039165350202735724,42.0,273186.0,200.8,COMPLETE
119,398.03020849553616,2026-06-21 05:57:05.819221,2026-06-21 05:59:51.646100,0 days 00:02:45.826879,16,0.3985215769105153,0.3962966029979878,32,128,1.2105339578396859e-05,32,160,160,1,224,0.00025016179238419964,33.0,390048.0,165.6,COMPLETE
120,400.35913565197933,2026-06-21 05:59:51.669621,2026-06-21 06:02:18.454505,0 days 00:02:26.784884,16,0.32315919204659493,0.3230123697677099,32,128,1.1594603976705252e-05,32,256,96,1,192,0.0002128193778361421,25.0,326336.0,146.6,COMPLETE
121,386.84557642552926,2026-06-21 06:02:18.484440,2026-06-21 06:04:49.581091,0 days 00:02:31.096651,16,0.4551563771141004,0.5613234770354079,32,128,2.482882509062261e-05,16,160,128,1,256,0.00017606187685753955,27.0,421888.0,150.8,COMPLETE
122,400.77068334023636,2026-06-21 06:04:49.605600,2026-06-21 06:06:35.742450,0 days 00:01:46.136850,16,0.47503161216751716,0.520733556299523,32,128,5.50080936240163e-05,16,128,96,1,256,0.0003324201273676078,13.0,394432.0,105.9,COMPLETE
123,401.1605040379723,2026-06-21 06:06:35.778422,2026-06-21 06:08:13.099212,0 days 00:01:37.320790,16,0.3733734366025686,0.5481202369527474,32,128,6.0804663883422726e-05,32,192,96,1,256,6.412291035841946e-05,10.0,424064.0,97.1,COMPLETE
124,393.2559400377825,2026-06-21 06:08:13.130703,2026-06-21 06:11:00.566181,0 days 00:02:47.435478,14,0.46736962981069907,0.5554984540953053,32,128,1.5176671640269966e-05,32,192,96,1,160,0.0002329869256081051,39.0,259778.0,167.2,COMPLETE
125,400.4444210811283,2026-06-21 06:11:00.593872,2026-06-21 06:15:02.607072,0 days 00:04:02.013200,14,0.49662230223330933,0.4866303703046113,32,96,1.0051839625666849e-05,16,96,96,1,192,0.0006395268191370314,79.0,236546.0,241.8,COMPLETE
126,382.01192307963373,2026-06-21 06:15:02.645078,2026-06-21 06:16:14.082489,0 days 00:01:11.437411,16,0.3879340262352593,0.39361559146762404,32,96,1.7035426763902017e-05,64,160,96,1,128,9.765914864146416e-05,24.0,206432.0,71.2,COMPLETE
127,397.8095689208594,2026-06-21 06:16:14.131220,2026-06-21 06:16:53.523367,0 days 00:00:39.392147,16,0.19336389918153934,0.23202038674448783,32,128,3.54418236031308e-05,64,160,96,1,64,0.0003980313241187318,5.0,184416.0,39.1,COMPLETE
128,408.316704593383,2026-06-21 06:16:53.556511,2026-06-21 06:19:02.608937,0 days 00:02:09.052426,14,0.3355059167829565,0.4822248585685908,32,96,2.0635924827835446e-05,64,128,96,1,224,4.354093348035865e-05,21.0,336194.0,128.8,COMPLETE
129,387.4176323749346,2026-06-21 06:19:02.638693,2026-06-21 06:23:23.052038,0 days 00:04:20.413345,16,0.35379585220336707,0.4498400344460304,64,128,1.0026826409549239e-05,32,256,128,1,224,0.00018899727885989136,69.0,421664.0,260.2,COMPLETE
130,392.02554923116935,2026-06-21 06:23:23.085931,2026-06-21 06:26:04.509914,0 days 00:02:41.423983,16,0.40594471899661777,0.5435474812690776,32,128,1.7339081891531104e-05,16,160,224,1,224,6.55569073694207e-05,30.0,411232.0,161.2,COMPLETE
131,411.7289574161623,2026-06-21 06:26:04.543103,2026-06-21 06:27:03.461843,0 days 00:00:58.918740,14,0.2762702892945349,0.44966457777027236,64,96,1.5488335059235424e-05,64,160,128,1,96,7.141723955576369e-05,20.0,206658.0,58.7,COMPLETE
132,421.02070911060895,2026-06-21 06:27:03.498643,2026-06-21 06:28:43.876738,0 days 00:01:40.378095,12,0.4864024630246667,0.5534242203137376,64,96,3.83223170223602e-05,16,128,224,1,192,5.460649110709839e-05,13.0,314180.0,100.1,COMPLETE
133,423.0479989020158,2026-06-21 06:28:43.909685,2026-06-21 06:30:46.987612,0 days 00:02:03.077927,14,0.3371299403154582,0.5511581581864723,32,128,3.7580065950702144e-05,16,160,256,1,256,8.57933274422129e-05,18.0,491746.0,122.8,COMPLETE
134,409.37335877533604,2026-06-21 06:30:47.022335,2026-06-21 06:32:02.849468,0 days 00:01:15.827133,16,0.3770558968706226,0.356563014526359,32,128,7.23280008428377e-05,64,160,96,1,160,6.461197663583309e-05,7.0,275040.0,75.6,COMPLETE
135,398.97382041306923,2026-06-21 06:32:02.880007,2026-06-21 06:33:46.978130,0 days 00:01:44.098123,16,0.30593614720736145,0.2762243847511043,32,32,1.0789940144419603e-05,64,96,96,2,96,0.0002880666779087786,39.0,236576.0,103.9,COMPLETE
136,409.7775501720415,2026-06-21 06:33:47.009907,2026-06-21 06:36:56.974006,0 days 00:03:09.964099,16,0.3238946964015229,0.4887395400331541,64,128,2.267035545224077e-05,16,256,96,1,256,6.022860885793927e-05,39.0,447360.0,189.7,COMPLETE
137,393.2186096816884,2026-06-21 06:36:57.008225,2026-06-21 06:40:11.464751,0 days 00:03:14.456526,16,0.38292110880578756,0.5946312196729534,64,128,1.623498290028317e-05,16,128,160,1,256,0.0001656645937262369,40.0,436032.0,194.2,COMPLETE
138,397.8939675026501,2026-06-21 06:40:11.500755,2026-06-21 06:43:50.396368,0 days 00:03:38.895613,16,0.343696203798997,0.39390260807227845,96,128,1.2053285305211894e-05,48,192,128,1,256,0.00012596150508689875,48.0,486048.0,218.6,COMPLETE
139,408.035537667983,2026-06-21 06:43:50.430822,2026-06-21 06:45:50.116641,0 days 00:01:59.685819,16,0.2985472248540838,0.519278779046001,32,128,3.1738242832785875e-05,16,128,192,1,160,5.136029238080521e-05,22.0,273184.0,119.4,COMPLETE
140,398.6684085803639,2026-06-21 06:45:50.150241,2026-06-21 06:47:05.539031,0 days 00:01:15.388790,16,0.3232661499645747,0.4023039475314016,32,128,1.2704541332614823e-05,64,128,96,1,96,0.00037918991030323735,27.0,196416.0,75.1,COMPLETE
141,401.35790994447837,2026-06-21 06:47:05.568076,2026-06-21 06:51:29.539176,0 days 00:04:23.971100,16,0.38648819324850825,0.5133614668242019,32,96,1.2592809200170108e-05,32,192,96,2,256,0.0009136736788026581,29.0,1003136.0,263.7,COMPLETE
142,415.28113594888947,2026-06-21 06:51:29.572930,2026-06-21 06:52:06.071740,0 days 00:00:36.498810,12,0.4268461953449231,0.45453299046954637,32,96,2.3998179324209937e-05,64,192,96,1,128,0.0001089020793970709,3.0,216452.0,36.3,COMPLETE
143,421.87311110688245,2026-06-21 06:52:06.105947,2026-06-21 06:56:34.358794,0 days 00:04:28.252847,14,0.4853321568550854,0.5436304660478934,64,128,1.1280315739060286e-05,16,160,96,2,256,6.192040317964026e-05,27.0,1078146.0,268.0,COMPLETE
144,414.0948336432127,2026-06-21 06:56:34.394013,2026-06-21 06:58:01.948503,0 days 00:01:27.554490,14,0.2190703098248704,0.2738603400250407,32,96,1.4537864210994408e-05,48,64,96,2,64,6.099783455757402e-05,27.0,237090.0,87.3,COMPLETE
145,400.29090983933173,2026-06-21 06:58:01.991589,2026-06-21 07:01:37.369527,0 days 00:03:35.377938,14,0.47996245401721793,0.4728795497768663,32,128,1.257655803977017e-05,48,128,128,1,224,0.00027738618835179907,47.0,371202.0,215.1,COMPLETE
146,394.2574706013825,2026-06-21 07:01:37.403689,2026-06-21 07:05:44.701937,0 days 00:04:07.298248,16,0.4375402834685501,0.520479746751278,64,128,1.4865005376884292e-05,32,192,96,1,224,0.00087764356969268,58.0,372928.0,247.0,COMPLETE
147,402.46407060133953,2026-06-21 07:05:44.730443,2026-06-21 07:07:28.984470,0 days 00:01:44.254027,16,0.43065300223889214,0.3695202736177485,32,128,3.514625904235036e-05,48,192,128,1,192,0.0008051944510483649,12.0,342560.0,104.0,COMPLETE
148,396.7837887313442,2026-06-21 07:07:29.022460,2026-06-21 07:10:39.114367,0 days 00:03:10.091907,16,0.25474569918098255,0.44577438715559287,32,128,1.2438507744633446e-05,32,224,128,1,256,0.0009631293273207514,40.0,459712.0,189.8,COMPLETE
149,409.9536368603162,2026-06-21 07:10:39.150854,2026-06-21 07:13:01.509406,0 days 00:02:22.358552,14,0.46687960870945083,0.550437562039705,32,128,2.5988956457861594e-05,16,192,192,1,224,0.00011157746072432426,25.0,413122.0,142.1,COMPLETE
150,411.1748411564112,2026-06-21 07:13:01.547262,2026-06-21 07:16:11.096268,0 days 00:03:09.549006,14,0.321140264044979,0.4362430701185176,64,96,1.1966358793429129e-05,32,256,96,1,224,0.000258596740197094,40.0,361922.0,189.3,COMPLETE
151,392.9598619770218,2026-06-21 07:16:11.130984,2026-06-21 07:21:39.671181,0 days 00:05:28.540197,16,0.3731179803338107,0.39504862915087,32,96,1.1868661451378218e-05,32,96,96,2,224,0.0004676461925340785,41.0,786976.0,328.3,COMPLETE
152,396.3176204132236,2026-06-21 07:21:39.707701,2026-06-21 07:25:42.926159,0 days 00:04:03.218458,16,0.4956927252296328,0.49627882847030286,32,96,1.527806033326659e-05,48,96,128,2,256,0.0008127680443145719,27.0,1010496.0,242.9,COMPLETE
153,401.04245021568477,2026-06-21 07:25:42.964101,2026-06-21 07:27:21.437797,0 days 00:01:38.473696,16,0.47051334190622923,0.41708442798493406,64,96,1.004209816880051e-05,48,160,96,1,128,4.6173533076252824e-05,42.0,200480.0,98.2,COMPLETE
